id_usuari,data_activitat,hora_inici,durada_minuts,tipus_activitat,calories,dispositiu
10,19/03/2024,11:01,38,bicicleta,674,mobil
3,10/04/2024,11:29,116,ioga,711,smartwatch
6,10/02/2024,21:19,109,ioga,564,smartwatch
9,26/02/2024,01:56,85,caminar,211,mobil
1,26/03/2024,11:14,94,bicicleta,280,smartwatch
6,15/02/2024,15:08,15,ioga,397,pulsera
1,16/03/2024,23:43,81,correr,977,mobil
3,27/02/2024,10:12,66,correr,459,mobil
9,18/01/2024,08:19,72,caminar,229,smartwatch
2,16/01/2024,15:36,115,correr,974,pulsera
3,26/02/2024,23:32,44,bicicleta,245,smartwatch
1,10/04/2024,17:05,21,correr,181,mobil
2,12/03/2024,05:57,45,correr,141,pulsera
3,09/03/2024,14:35,92,bicicleta,910,pulsera
8,30/03/2024,23:32,112,bicicleta,620,pulsera
4,16/01/2024,19:15,57,caminar,892,smartwatch
8,12/03/2024,03:27,89,caminar,882,pulsera
4,11/01/2024,15:10,8,caminar,339,pulsera
9,24/02/2024,15:24,5,bicicleta,398,mobil
9,14/02/2024,07:35,43,natacio,607,mobil
4,04/04/2024,04:09,13,natacio,907,smartwatch
10,15/03/2024,19:08,59,bicicleta,650,smartwatch
3,28/03/2024,20:39,26,correr,186,smartwatch
7,10/04/2024,00:50,28,ioga,199,smartwatch
4,19/01/2024,16:36,79,bicicleta,788,mobil
4,03/02/2024,23:10,75,correr,561,smartwatch
3,07/04/2024,05:54,63,natacio,725,smartwatch
9,09/03/2024,13:05,105,bicicleta,613,smartwatch
2,31/03/2024,21:17,39,bicicleta,457,smartwatch
6,11/04/2024,07:39,71,bicicleta,372,smartwatch
8,11/04/2024,19:25,40,caminar,527,smartwatch
8,03/03/2024,21:25,23,caminar,285,smartwatch
9,17/02/2024,23:16,7,bicicleta,829,mobil
2,13/04/2024,16:42,34,caminar,192,mobil
10,25/01/2024,00:00,34,natacio,390,pulsera
6,09/04/2024,02:01,118,correr,613,smartwatch
7,07/01/2024,21:18,94,ioga,624,smartwatch
6,01/01/2024,07:38,75,natacio,871,pulsera
10,17/02/2024,00:26,32,bicicleta,776,pulsera
4,16/02/2024,08:51,80,correr,799,pulsera
6,03/03/2024,21:54,78,bicicleta,511,pulsera
9,06/02/2024,10:06,103,bicicleta,274,smartwatch
2,13/02/2024,23:27,80,caminar,910,mobil
6,16/03/2024,17:20,110,ioga,701,smartwatch
9,16/02/2024,17:48,7,caminar,188,mobil
2,05/02/2024,05:49,55,bicicleta,410,pulsera
4,03/01/2024,21:26,90,caminar,41,mobil
8,24/02/2024,20:22,105,natacio,233,smartwatch
6,27/02/2024,14:04,32,bicicleta,339,mobil
10,05/02/2024,23:31,12,bicicleta,230,pulsera
7,12/03/2024,03:47,90,caminar,687,smartwatch
5,10/04/2024,13:59,47,caminar,782,smartwatch
1,23/03/2024,17:13,82,correr,759,pulsera
8,13/04/2024,07:25,49,caminar,380,smartwatch
3,15/02/2024,09:46,63,bicicleta,235,mobil
2,28/02/2024,13:03,93,caminar,771,mobil
7,29/03/2024,08:02,33,correr,826,smartwatch
4,02/03/2024,07:59,117,caminar,516,smartwatch
1,19/02/2024,04:09,82,bicicleta,982,smartwatch
3,04/01/2024,20:56,106,bicicleta,395,mobil
8,29/02/2024,09:12,105,bicicleta,848,mobil
5,13/02/2024,14:07,18,natacio,683,pulsera
2,09/03/2024,23:03,35,correr,268,smartwatch
3,04/03/2024,15:50,83,caminar,764,mobil
4,23/03/2024,03:04,22,ioga,217,smartwatch
8,30/03/2024,18:43,93,natacio,813,smartwatch
3,15/01/2024,22:31,119,correr,184,pulsera
4,16/03/2024,18:41,27,ioga,746,smartwatch
5,06/01/2024,17:20,91,natacio,894,smartwatch
7,07/01/2024,19:06,7,caminar,749,smartwatch
10,26/01/2024,00:36,90,bicicleta,249,pulsera
1,08/01/2024,20:27,106,correr,174,pulsera
2,18/03/2024,05:01,40,natacio,430,smartwatch
9,17/02/2024,13:44,14,natacio,84,mobil
7,24/02/2024,16:58,49,correr,515,mobil
8,28/01/2024,04:28,90,natacio,571,smartwatch
9,30/03/2024,19:10,63,natacio,852,mobil
7,14/02/2024,19:46,112,bicicleta,233,smartwatch
5,27/02/2024,13:18,87,caminar,474,smartwatch
5,30/01/2024,18:01,9,correr,842,smartwatch
2,20/02/2024,02:54,64,caminar,724,smartwatch
7,06/04/2024,01:25,118,bicicleta,694,smartwatch
3,06/03/2024,15:45,57,caminar,69,pulsera
5,02/03/2024,00:05,75,natacio,790,mobil
2,29/03/2024,17:16,86,ioga,426,pulsera
10,23/03/2024,04:05,36,correr,90,pulsera
3,23/02/2024,13:45,36,bicicleta,411,pulsera
8,20/02/2024,18:59,118,ioga,360,smartwatch
3,04/01/2024,09:05,46,bicicleta,269,pulsera
9,24/02/2024,07:18,105,correr,688,mobil
2,31/03/2024,00:31,38,correr,51,smartwatch
4,03/01/2024,13:23,52,caminar,853,smartwatch
4,17/02/2024,03:32,103,ioga,851,mobil
10,25/01/2024,21:33,20,natacio,130,mobil
7,14/01/2024,18:19,83,natacio,592,smartwatch
10,02/01/2024,10:14,42,caminar,40,pulsera
9,11/02/2024,19:56,52,bicicleta,789,mobil
4,07/01/2024,03:23,71,correr,768,mobil
9,22/03/2024,03:37,54,ioga,374,pulsera
5,18/02/2024,17:09,15,bicicleta,416,mobil
