Data canvi estat sequera,Codi unitat explotació,Unitat explotació,Codi estat sequera hidrològic,Estat sequera hidrològic,Codi estat sequera pluviomètric,Estat sequera pluviomètric,Codi Municipi,Nom Municipi
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170046,Albons
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170182,Bellcaire d'Empordà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170221,"Bisbal d'Empordà, la"
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170255,Bordils
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170499,Celrà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170502,Cervià de Ter
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170558,Colomers
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170577,Corçà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura"
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170622,"Escala, l'"
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170675,Flaçà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170681,Foixà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170708,Fontanilles
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,179026,Forallac
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170767,Garrigoles
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170813,Gualta
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170852,Jafre
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,170979,Madremanya
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171215,Palau-sator
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171267,Parlavà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171539,Rupià
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171668,Sant Jordi Desvalls
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171910,Serra de Daró
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171959,"Tallada d'Empordà, la"
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,171997,Torroella de Montgrí
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,172044,Ullà
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,172057,Ullastret
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,172039,Ultramort
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,172095,Vall-llobrega
11/04/2025,05,Aqüífer del Baix Ter,00004,NORMALITAT,00001,NORMALITAT,172116,Verges
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,170010,Agullana
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,170118,"Armentera, l'"
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,170427,Capmany
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,170643,Espolla
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,170773,Garriguella
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,170865,"Jonquera, la"
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171002,Masarac
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171061,Mollet de Peralada
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171208,Palau-saverdera
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171289,Pau
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171292,Pedret i Marzà
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171328,Peralada
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171582,Sant Climent Sescebes
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171753,Sant Miquel de Fluvià
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171766,Sant Mori
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171788,Sant Pere Pescador
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,171984,Torroella de Fluvià
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,172109,Ventalló
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,172142,Vilabertran
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,172174,Viladamat
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,172235,Vilajuïga
11/04/2025,03,Aqüífer Fluvià - Muga,00006,ALERTA,00001,NORMALITAT,172253,Vilamacolum
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080180,Balsareny
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080386,Callús
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080478,Cardona
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080538,Castellbell i el Vilar
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080594,Castellfollit del Boix
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080615,Castellgalí
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080620,Castellnou de Bages
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,250753,Clariana de Cardener
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080787,"Espunyola, l'"
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080847,Fonollosa
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081136,Manresa
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081304,Montclar
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081326,Montmajor
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081402,Navarcles
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081419,Navàs
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,251462,Navès
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081477,Olesa de Montserrat
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,251517,Olius
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,251673,Pinós
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081825,"Pont de Vilomara i Rocafort, el"
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081751,Puig-reig
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081786,Rajadell
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,251863,Riner
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,082135,Sant Fruitós de Bages
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,082188,Sant Joan de Vilatorrada
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,082299,Sant Mateu de Bages
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,081923,Santpedor
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,080983,Sant Salvador de Guardiola
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,082628,Sant Vicenç de Castellet
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,252075,Solsona
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,082747,Súria
11/04/2025,10,Embassament del Llobregat,00005,PREALERTA,00001,NORMALITAT,083089,Viver i Serrateix
