Comarca,Municipi,Codi municipi,Refugi climàtic,Latitud,Longitud,Tipologia,Nom,Adreça,Telèfon,Correu,Horari,Gratuïtat,Accessibilitat,Aigua,Lavabo,Mobiliari per seure,Capacitat,Georeferència
Segrià,Alcanó,250100,Sí,41.48047396,0.61737839,Altres,Casa de la Vila,"C. Major, 13",973136500,ajuntament@alcano.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (0.61737839 41.48047396)
Baix Penedès,Llorenç del Penedès,430748,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bages,Monistrol de Montserrat,081271,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alt Empordà,Peralada,171328,Sí,42.3119038,3.01379,Piscina,Piscina municipal de Peralada,C. Aragó,NA,NA,11:00 - 20:00,No,Sí,No,Sí,Sí,200,POINT (3.01379 42.3119038)
Alt Penedès,Olèrdola,081458,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Solsonès,Pinell de Solsonès,251667,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Garrotxa,"Preses, les",171390,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ribera d'Ebre,Rasquera,431212,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Garrotxa,Sant Feliu de Pallerols,171616,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bages,Rajadell,081786,Sí,41.72758033,1.70593518,Espai cultural,La Sala,"C. Major, 14 08256 Rajadell",938368026,rajadell@rajadell.cat,Indefinit,Sí,Sí,No,Sí,Sí,150,POINT (1.70593518 41.72758033)
Alt Empordà,"Saus, Camallera i Llampaies",171870,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Garrigues,"Soleràs, el",252069,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pla de l'Estany,Vilademuls,172180,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barcelonès,Barcelona,080193,Sí,41.40260093,2.18805029,Biblioteca,Biblioteca El Clot - Josep Benet,"Pl. de les Glòries Catalanes, 37-38",NA,b.barcelona.jb@diba.cat,"Juliol i Setembre: dt., dc. i dv. 09:30 - 13:30 i 15:30 - 20:00 | dl i dj. 15:30 - 20:00 || Agost: Tancat",Sí,Sí,No,Sí,Sí,,POINT (2.18805029 41.40260093)
Baix Penedès,Banyeres del Penedès,430206,Sí,41.2618118,1.46153282,Altres,Local social Esplai,"Av. de l'esplai, 50",NA,NA,10:00 - 22:00,Sí,Sí,Sí,Sí,Sí,50,POINT (1.46153282 41.2618118)
Barcelonès,Barcelona,080193,Sí,41.39898264,2.20143849,Altres,CUESB,"Llacuna, 25",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.20143849 41.39898264)
Barcelonès,Barcelona,080193,Sí,41.40479488,2.17247136,Parc densament arbrat,Parc de la Sagrada Família,"Pl. Sagrada Família, 1",NA,NA,Indefinit,Sí,Sí,NA,Sí,Sí,,POINT (2.17247136 41.40479488)
Barcelonès,Barcelona,080193,Sí,41.3723405,2.1385867,Parc densament arbrat,Plaça de la Farga,"Pl. Farga, 1",NA,NA,Indefinit,Sí,Sí,Sí,No,NA,,POINT (2.1385867 41.3723405)
